No,Attributes
268,+1:word.lower():995
269,word.lower():995
270,word[-3:]:995
271,word[-2:]:95
272,word[:3]:995
273,word[:2]:99
274,-1:word.lower():dynamic
275,+1:word.lower():ev
276,word.lower():ev
277,word[-3:]:EV
278,word[-2:]:EV
279,word[:3]:EV
280,word[:2]:EV
281,-1:word.lower():995
282,-1:postag:CD
283,-1:postag[:2]:CD
284,+1:word.lower():mesin
285,word.lower():mesin
286,word[-3:]:sin
287,word[-2:]:in
288,word[:3]:Mes
289,word[:2]:Me
290,-1:word.lower():ev
291,+1:word.lower():hitung
292,word.lower():hitung
293,word[-3:]:ung
294,word[:3]:Hit
295,word[:2]:Hi
296,-1:word.lower():mesin
297,+1:word.lower():uang
298,word.lower():uang
299,word[:3]:Uan
300,word[:2]:Ua
301,-1:word.lower():hitung
302,+1:word.lower():murah
303,word.lower():murah
304,word[-3:]:rah
305,word[-2:]:ah
306,word[:3]:Mur
307,word[:2]:Mu
308,-1:word.lower():uang
309,+1:word.lower():20170821
310,word.lower():20170821
311,word[-3:]:821
312,word[-2:]:21
313,word[:3]:201
314,word[:2]:20
315,-1:word.lower():murah
316,word.lower():bergo
317,word[-3:]:rgo
318,word[-2:]:go
319,word[:3]:Ber
320,word[:2]:Be
321,+1:word.lower():gardeno
322,word.lower():gardeno
323,word[-3:]:eno
324,word[-2:]:no
325,word[:3]:Gar
326,word[:2]:Ga
327,-1:word.lower():bergo
328,+1:word.lower():talita
329,word.lower():talita
330,word[-3:]:ita
331,word[-2:]:ta
332,word[:3]:Tal
333,-1:word.lower():gardeno
334,word.lower():canon
335,word[-3:]:non
336,word[-2:]:on
337,+1:word.lower():kalkulator
338,word.lower():kalkulator
339,word[-3:]:tor
340,word[-2:]:or
341,word[:3]:Kal
342,word[:2]:Ka
343,-1:word.lower():canon
344,+1:word.lower():mini
345,word.lower():mini
346,word[-3:]:ini
347,word[-2:]:ni
348,word[:3]:Min
349,word[:2]:Mi
350,-1:word.lower():kalkulator
351,+1:word.lower():desktop
352,word.lower():desktop
353,word[-3:]:top
354,word[-2:]:op
355,word[:3]:Des
356,word[:2]:De
357,-1:word.lower():mini
358,+1:word.lower():as
359,word.lower():as
360,word[-3:]:AS
361,word[-2:]:AS
362,word[:3]:AS
363,word[:2]:AS
364,-1:word.lower():desktop
365,+1:word.lower():120v
366,word.lower():120v
367,word[-3:]:20V
368,word[-2:]:0V
369,word[:3]:120
370,word[:2]:12
371,-1:word.lower():as
372,+1:word.lower():pink
373,word.lower():pink
374,word[-3:]:ink
375,word[-2:]:nk
376,-1:word.lower():120v
377,+1:word.lower():panasonic
378,word.lower():panasonic
379,word[-3:]:nic
380,word[-2:]:ic
381,word[:3]:Pan
382,+1:word.lower():handycam
383,word.lower():handycam
384,word[-3:]:cam
385,word[-2:]:am
386,word[:3]:Han
387,word[:2]:Ha
388,-1:word.lower():panasonic
389,+1:word.lower():hc
390,word.lower():hc
391,word[-3:]:HC
392,word[-2:]:HC
393,word[:3]:HC
394,word[:2]:HC
395,-1:word.lower():handycam
