,target,feature,weight
174,O,word[:3]:Pak,0.580772
175,O,"word[-3:]:ng,",0.580339
176,O,-1:word.lower():pad,0.576559
177,O,-1:word.lower():1,0.575759
178,O,word.lower():classic,0.574954
179,O,word[:3]:Mot,0.571781
180,O,word[-3:]:al),0.571487
181,O,-1:word.lower():selempang,0.571278
182,O,word.lower():paling,0.570088
183,O,word[-3:]:RAH,0.569512
184,O,word.lower():stripe,0.568793
185,O,word[:3]:Van,0.567625
186,O,word[-3:]:ali,0.567372
187,O,word.lower():sachet,0.567112
188,O,word[:3]:Tra,0.565526
189,O,word[-3:]:821,0.565063
190,O,word.lower():termurah,0.564935
191,O,word[-3:]:kai,0.564135
192,O,word[-3:]:rea,0.562897
193,O,word.lower():atau,0.562165
194,O,word[:3]:Fas,0.562159
195,O,+1:word.lower():5,0.561656
196,O,-1:word.lower():kuota,0.561105
197,O,+1:word.lower():2gb,0.560737
198,O,word[-3:]:...,0.5585
199,O,+1:word.lower():lion,0.55831
200,O,word[:3]:Exc,0.557286
201,O,word[-3:]:LTE,0.556327
202,O,+1:word.lower():xl,0.555409
203,O,word.lower():baru,0.554809
204,O,word[:3]:Mul,0.554796
205,O,word[:3]:Bun,0.554781
206,O,word[:3]:ber,0.553564
207,O,word[:3]:5pc,0.55241
208,O,+1:word.lower():lensa,0.549334
209,O,word[-3:]:TAS,0.548938
210,O,+1:word.lower():accessories,0.547919
211,O,+1:word.lower():!!,0.546598
212,O,word[:3]:Rep,0.54505
213,O,-1:word.lower():aquarium,0.544689
214,O,word[-3:]:ila,0.54435
215,O,-1:word.lower():pria,0.541725
216,O,-1:word.lower():razor,0.541406
217,O,+1:word.lower():watt,0.541069
218,O,+1:word.lower():rantai,0.539845
219,O,-1:word.lower():[free,0.539682
220,O,word[-3:]:ize,0.539392
221,O,word[-3:]:art,0.539261
222,O,word[-3:]:gsi,0.537042
223,O,word[:3]:COL,0.536524
224,O,word.lower():charging,0.536204
225,O,word.lower():yang,0.535468
226,O,+1:word.lower():in,0.533913
227,O,word.lower():remote,0.533509
228,O,word[:3]:Tur,0.531827
229,O,word[-3:]:awa,0.53095
230,O,word[:3]:Khu,0.530489
231,O,+1:postag:CD,0.53006
232,O,word[-3:]:tik,0.528198
233,O,-1:word.lower():smartphone,0.528072
234,O,word[:3]:Lem,0.527824
