title,link,price_now,location,discount_price,discount_percent,img_link
LAPTOP ASUS VIVOBOOK A507UF - I5-8250U- 4GB- 1TB- MX130- 15.6 FHD- W10- LAPTOP MURAH KANTORAN,https://www.lazada.co.id/products/laptop-asus-vivobook-a507uf-i5-8250u-4gb-1tb-mx130-156-fhd-w10-laptop-murah-kantoran-i496016069-s621854554.html?search=1,Rp8.570.000,DKI Jakarta,Rp8.729.000,-2%,False
ASUS X540NA-GQ017 | Black | Intel N3350 | 4GB | 500GB | Endless OS | 15.6 Inch | Laptop Untuk Pelajar,https://www.lazada.co.id/products/asus-x540na-gq017-black-intel-n3350-4gb-500gb-endless-os-156-inch-laptop-untuk-pelajar-i102993375-s500863454.html?search=1,Rp3.785.500,Jawa Timur,Rp4.200.000,-10%,False
LENOVO Ideapad 330-15IGM | Intel N4000 | 4GB RAM | 500GB | 15.6 Inch HD LED | DOS | Grey,https://www.lazada.co.id/products/lenovo-ideapad-330-15igm-intel-n4000-4gb-ram-500gb-156-inch-hd-led-dos-grey-i452714093-s537624241.html?search=1,Rp3.615.000,Jawa Timur,Rp4.600.000,-21%,False
Uinn Tablet 10.1 Inch Tablet 2 GB Ram GB ROM untuk Android 7.0 Phablet Komputer Tablet,https://www.lazada.co.id/products/uinn-tablet-101-inch-tablet-2-gb-ram-gb-rom-untuk-android-70-phablet-komputer-tablet-i419973396-s474268048.html?search=1,Rp1.045.400,Tiongkok,Rp1.568.100,-33%,False
ASUS X505ZA-BR501T - R5-2500U- 8GB- 1TB- VEGA 8- 15.6HD- WIN10 LAPTOP MURAH KANTORAN,https://www.lazada.co.id/products/asus-x505za-br501t-r5-2500u-8gb-1tb-vega-8-156hd-win10-laptop-murah-kantoran-i469602800-s573582005.html?search=1,Rp7.789.000,DKI Jakarta,,,False
Asus X540NA - GQ017 - Black,https://www.lazada.co.id/products/asus-x540na-gq017-black-i480874569-s593614162.html?search=1,Rp3.665.988,Jawa Timur,Rp4.799.000,-24%,False
7IN 512 MB RAM 8G ROM HD IPS Laptop Mini Kompak WIFI Bluetooth Android Komputer Quad-Core Dual kamera PC (Putih UK),https://www.lazada.co.id/products/7in-512-mb-ram-8g-rom-hd-ips-laptop-mini-kompak-wifi-bluetooth-android-komputer-quad-core-dual-kamera-pc-putih-uk-i406151148-s448429892.html?search=1,Rp442.000,Tiongkok,Rp1.018.000,-57%,False
"2 In 1 Laptop!! HP ElitePad 900 G - Intel Atom 1.8 Ghz - Ram 2GB - Windows 8 - 10 "" Toucscreen",https://www.lazada.co.id/products/2-in-1-laptop-hp-elitepad-900-g-intel-atom-18-ghz-ram-2gb-windows-8-10-toucscreen-i156537366-s177199733.html?search=1,Rp1.994.900,Jawa Timur,Rp2.875.000,-31%,False
Hot Penjual 14 Inci untuk Windows 10 Redstone OS Notebook PC Laptop 1920*1080 P Tampilan HD,https://www.lazada.co.id/products/hot-penjual-14-inci-untuk-windows-10-redstone-os-notebook-pc-laptop-19201080-p-tampilan-hd-i443689464-s525145005.html?search=1,Rp3.459.854,Tiongkok,Rp5.836.462,-41%,False
Laptop Murah Asus X540NA Processor Intel Celeron N3350 Ram 4GB Hdd 500GB Bonus Tas Layar 15.6Inch,https://www.lazada.co.id/products/laptop-murah-asus-x540na-processor-intel-celeron-n3350-ram-4gb-hdd-500gb-bonus-tas-layar-156inch-i445116078-s527054220.html?search=1,Rp3.787.100,Indonesia,Rp4.300.000,-12%,False
ASUS A407UA-BV320T Gold Icicle - i3 7020U-4GB-1TB HDD-Win10,https://www.lazada.co.id/products/asus-a407ua-bv320t-gold-icicle-i3-7020u-4gb-1tb-hdd-win10-i408145052-s451691188.html?search=1,Rp5.535.000,DKI Jakarta,Rp6.999.000,-21%,False
PROMO Acer Aspire ES1-432-C08S / C45N BLACK LAPTOP COCOK buat pelajar dan pekerja kantor + bonus tas laptop HARDISK 500GB (FREE ASURANSI),https://www.lazada.co.id/products/promo-acer-aspire-es1-432-c08s-c45n-black-laptop-cocok-buat-pelajar-dan-pekerja-kantor-bonus-tas-laptop-hardisk-500gb-free-asuransi-i325087342-s331459402.html?search=1,Rp3.552.900,Jawa Timur,,,False
"Asus VivoBook Ultra K403FA-EB301T - Intel i3 8145U - 4GB - 512GB SSD - Intel UHD 620 - Fingerprint - 14"" FHD - Win10 Home - Silver Blue - ESEL",https://www.lazada.co.id/products/asus-vivobook-ultra-k403fa-eb301t-intel-i3-8145u-4gb-512gb-ssd-intel-uhd-620-fingerprint-14-fhd-win10-home-silver-blue-esel-i565736930-s801392623.html?search=1,Rp8.099.000,DKI Jakarta,,,False
