title,link,price_now,location,discount_price,discount_percent,img_link
jaket jeans denim wanita terbaru 2019 atasan wanita fashion trendy oversize PROMO,https://www.lazada.co.id/products/jaket-jeans-denim-wanita-terbaru-2019-atasan-wanita-fashion-trendy-oversize-promo-i430524949-s500958064.html?search=1,Rp100.000,DKI Jakarta,Rp299.500,-67%,none
Jaket pria bb bolak-bolik,https://www.lazada.co.id/products/jaket-pria-bb-bolak-bolik-i179757872-s214250666.html?search=1,Rp73.000,Indonesia,Rp100.000,-27%,none
JAKET BOLAK BALIK 2in1,https://www.lazada.co.id/products/jaket-bolak-balik-2in1-i355304387-s514906984.html?search=1,Rp70.000,Jawa Barat,,,none
Arc Jaket Bomber Polos Pria Hitam - Navy - Marun - Hijau - Gold,https://www.lazada.co.id/products/arc-jaket-bomber-polos-pria-hitam-navy-marun-hijau-gold-i9541938-s104838509.html?search=1,Rp78.000,Jawa Barat,Rp150.000,-48%,none
JAKET PARKA TASLAN PREMIUM ORY REBEEL ID -Gibranstore,https://www.lazada.co.id/products/jaket-parka-taslan-premium-ory-rebeel-id-gibranstore-i145534805-s470445281.html?search=1,Rp120.000,Jawa Barat,Rp215.000,-44%,none
Jaket Boomber Pria Force -gibranstore,https://www.lazada.co.id/products/jaket-boomber-pria-force-gibranstore-i129803341-s181708545.html?search=1,Rp120.000,Jawa Barat,Rp275.000,-56%,none
Ab Fashion Wanita - Jaket Wanita - Harga Murah - Premium Quality - Jaket Denim Terbaru 2019,https://www.lazada.co.id/products/ab-fashion-wanita-jaket-wanita-harga-murah-premium-quality-jaket-denim-terbaru-2019-i393921112-s431756888.html?search=1,Rp105.000,DKI Jakarta,Rp390.000,-73%,none
Jaket Denim Jeans Pria,https://www.lazada.co.id/products/jaket-denim-jeans-pria-i384194739-s417618096.html?search=1,Rp96.900,Jawa Barat,Rp239.000,-59%,none
POLAN JAKET - FASHION JAKET WANITA - POCKET ZIPPY,https://www.lazada.co.id/products/polan-jaket-fashion-jaket-wanita-pocket-zippy-i384780827-s423470870.html?search=1,Rp55.000,Jawa Barat,Rp119.000,-54%,none
Jaket bomber pria XUA,https://www.lazada.co.id/products/jaket-bomber-pria-xua-i180661067-s413888368.html?search=1,Rp90.000,Indonesia,Rp150.000,-40%,none
Bhl Jaket Denim Jeans  Oversize Wanita _ Bioblitz [Biru Muda] ,https://www.lazada.co.id/products/bhl-jaket-denim-jeans-oversize-wanita-_-bioblitz-biru-muda-i123581698-s129275978.html?search=1,Rp89.700,Jawa Barat,Rp297.000,-70%,none
1080Fashion JACKET JEANS AURORI,https://www.lazada.co.id/products/1080fashion-jacket-jeans-aurori-i505010800-s650974640.html?search=1,Rp57.500,DKI Jakarta,Rp62.000,-7%,none
Mono Jacket Jeans Fashion Wanita Terbaru Canvas BPS Promo,https://www.lazada.co.id/products/mono-jacket-jeans-fashion-wanita-terbaru-canvas-bps-promo-i316710032-s600204762.html?search=1,Rp53.900,Jawa Barat,Rp119.000,-55%,https://id-test-11.slatic.net/p/52228cf496668a339a481d74ba68b8db.jpg
Mark Kanvas - Jaket Semi Parka,https://www.lazada.co.id/products/mark-kanvas-jaket-semi-parka-i466830274-s567164922.html?search=1,Rp63.000,Jawa Barat,Rp119.000,-47%,https://id-test-11.slatic.net/p/e680dbb07696545827ad97092645adac.jpg
Pocket Zippy Jacket - Jaket Cewe / Jaket Wanita,https://www.lazada.co.id/products/pocket-zippy-jacket-jaket-cewe-jaket-wanita-i169388622-s400776667.html?search=1,Rp55.000,Jawa Barat,Rp127.000,-57%,https://id-live-01.slatic.net/original/8a0e5afd69f64d5ae2c5e40ad3e7d702.jpg
JAKET BOMBER PRIA - TASLAN SR - JAKET PREMIUM QUALITY,https://www.lazada.co.id/products/jaket-bomber-pria-taslan-sr-jaket-premium-quality-i420411511-s475174369.html?search=1,Rp127.500,Jawa Barat,Rp199.000,-36%,https://id-live-01.slatic.net/original/ab00d33309de6f4ef9347452cf5f2361.jpg
Forwad Jaket Parasut Bolak-Balik Navy Pria-Dark Grey,https://www.lazada.co.id/products/forwad-jaket-parasut-bolak-balik-navy-pria-dark-grey-i145376179-s160021973.html?search=1,Rp110.000,Jawa Barat,Rp189.900,-42%,https://id-test-11.slatic.net/p/2a2589ab65553bf06cd47c60b3942133.jpg
JAKET JEANS DENIM OVERSIZE WOMEN LightBlue AcidWash (Biru Gradasi Putih) PREMIUM QUALITY by Mr. X,https://www.lazada.co.id/products/jaket-jeans-denim-oversize-women-lightblue-acidwash-biru-gradasi-putih-premium-quality-by-mr-x-i161000913-s198980695.html?search=1,Rp102.900,Jawa Barat,Rp290.000,-65%,https://id-test-11.slatic.net/p/7/jaket-jeans-denim-oversize-women-lightblue-acidwash-premium-quality-by-mr-x-1815-23408727-30aba62f5a98ee0d058975b5dca2afbf-catalog_233.jpg
yrvp- Jaket Levis Denim Pria,https://www.lazada.co.id/products/yrvp-jaket-levis-denim-pria-i391203353-s427786698.html?search=1,Rp95.000,Jawa Barat,Rp250.000,-62%,https://id-test-11.slatic.net/p/8e00d415cbc501b8eb83fbd47e07b86e.jpg
PARKA NOTE - JAKET PARKA WANITA - KOREAN AND CASUAL,https://www.lazada.co.id/products/parka-note-jaket-parka-wanita-korean-and-casual-i380618960-s438825020.html?search=1,Rp55.000,Jawa Barat,Rp119.000,-54%,https://id-live-01.slatic.net/original/34d84acf2ffe4b360563da4172845898.jpg
Rieliez - Jacket Hoodie distro pria Pull & Bear.Loreng / Bayar di tempat,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-pull-bearloreng-bayar-di-tempat-i459006694-s836092343.html?search=1,Rp85.900,Jawa Barat,Rp230.000,-63%,none
Ormano Jaket Anime Ninja G Gaiden Fleece Hoodie Pria Kostum Cosplay All Size fit to M dan L Sweater Jepang Fashion Biker Pengendara Motor Jacket Hangat Resleting,https://www.lazada.co.id/products/ormano-jaket-anime-ninja-g-gaiden-fleece-hoodie-pria-kostum-cosplay-all-size-fit-to-m-dan-l-sweater-jepang-fashion-biker-pengendara-motor-jacket-hangat-resleting-i482364748-s596334232.html?search=1,Rp62.500,DKI Jakarta,Rp174.750,-64%,none
RL - Jacket Hoodie distro Pria ORIGINAL MATRAS STAY AWAY / Hoodie distro / Hoodie Pria / Jaket Pria / Jaket distro,https://www.lazada.co.id/products/rl-jacket-hoodie-distro-pria-original-matras-stay-away-hoodie-distro-hoodie-pria-jaket-pria-jaket-distro-i550824370-s770089000.html?search=1,Rp102.500,Jawa Barat,Rp265.000,-61%,none
Polan Jacket - Jaket Wanita,https://www.lazada.co.id/products/polan-jacket-jaket-wanita-i380028594-s419064904.html?search=1,Rp56.000,Jawa Barat,Rp127.000,-56%,none
Jaket Sweater Hoodie Polos Switer Lubang Jempol Model Ariel Jaket Model Korea Pria Mens Jacket Windproof Jaket Pria Wanita Terbaru Tahan Angin Jaket Motor Hangout Fashion Jacket M / L / XL / XXL - AX004,https://www.lazada.co.id/products/jaket-sweater-hoodie-polos-switer-lubang-jempol-model-ariel-jaket-model-korea-pria-mens-jacket-windproof-jaket-pria-wanita-terbaru-tahan-angin-jaket-motor-hangout-fashion-jacket-m-l-xl-xxl-ax004-i123559758-s335399314.html?search=1,Rp87.500,Jawa Barat,Rp190.000,-54%,none
Jaket Pria Bolak Balik Jaket Parasut Pria Mens Jacket Windproof Jaket Pria Wanita Tahan Angin Jaket Motor Hangout Fashion Jacket M / L / XL / XXL - AX002,https://www.lazada.co.id/products/jaket-pria-bolak-balik-jaket-parasut-pria-mens-jacket-windproof-jaket-pria-wanita-tahan-angin-jaket-motor-hangout-fashion-jacket-m-l-xl-xxl-ax002-i108345388-s335323341.html?search=1,Rp99.000,Jawa Barat,Rp220.000,-55%,none
Rieliez - Jacket Hoodie distro pria Huf.Japan / Jaket distro murah / Jaket terlaris,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-hufjapan-jaket-distro-murah-jaket-terlaris-i452888079-s835074782.html?search=1,Rp85.200,Jawa Barat,Rp225.000,-62%,none
Rieliez - Jacket Hoodie distro pria Stussy.Hitam tudung putih / jaket pria terlaris/ jaket pria distro murah,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-stussyhitam-tudung-putih-jaket-pria-terlaris-jaket-pria-distro-murah-i452856722-s835212186.html?search=1,Rp84.900,Jawa Barat,Rp225.000,-62%,none
Rieliez - Jacket Hoodie distro pria UH. Flower / Bayar di tempat,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-uh-flower-bayar-di-tempat-i471672722-s576776379.html?search=1,Rp85.000,Jawa Barat,Rp230.000,-63%,none
Rieliez - Jacket Hoodie distro Pria Shining.Bright satu / Hoodie Pria / Jaket Pria / Hoodie distro / Jaket Murah,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-shiningbright-satu-hoodie-pria-jaket-pria-hoodie-distro-jaket-murah-i516884238-s708812437.html?search=1,Rp77.200,Jawa Barat,Rp225.000,-66%,none
MONO JACKET FASHION-KOREAN AND CASUAL,https://www.lazada.co.id/products/mono-jacket-fashion-korean-and-casual-i375968158-s403238216.html?search=1,Rp57.000,Jawa Barat,Rp115.000,-50%,none
Jaket Bomber Jaket Pria Jaket Bomber Pria Wanita Men's Military Jacket Windproof Double Side Jaket Bolak Balik Jaket Bomber Army Loreng Size M / L / XL / XXL - AX003,https://www.lazada.co.id/products/jaket-bomber-jaket-pria-jaket-bomber-pria-wanita-mens-military-jacket-windproof-double-side-jaket-bolak-balik-jaket-bomber-army-loreng-size-m-l-xl-xxl-ax003-i192842725-s235026688.html?search=1,Rp120.000,Jawa Barat,Rp250.000,-52%,none
Ahha Anak 8 12 Tahun Hustle Hoodie Sweater Jacket Hypebeast Atta Halilintar Kualitas Premium Harga Grosir Cuci Gudang,https://www.lazada.co.id/products/ahha-anak-8-12-tahun-hustle-hoodie-sweater-jacket-hypebeast-atta-halilintar-kualitas-premium-harga-grosir-cuci-gudang-i540550095-s747012638.html?search=1,Rp100.000,Jawa Barat,,,none
FMV - Jaket jeans Wanita / Jacket / Blazer cewek / JAket Jeans Wanita Premium ZARRA Polos,https://www.lazada.co.id/products/fmv-jaket-jeans-wanita-jacket-blazer-cewek-jaket-jeans-wanita-premium-zarra-polos-i498682776-s793390008.html?search=1,Rp79.000,Indonesia,Rp159.000,-50%,none
Arc Jaket Bomber Polos Pria Hitam - Navy - Marun - Hijau - Gold,https://www.lazada.co.id/products/arc-jaket-bomber-polos-pria-hitam-navy-marun-hijau-gold-i9541938-s104838509.html?search=1,Rp78.000,Jawa Barat,Rp150.000,-48%,none
JACKET ZIPPER GRAB BIKE BELAKANG POLOS - Jaket ^Grab^ Motor,https://www.lazada.co.id/products/jacket-zipper-grab-bike-belakang-polos-jaket-grab-motor-i431647261-s502863469.html?search=1,Rp134.900,DKI Jakarta,Rp170.000,-21%,none
Mono Loreng Jacket - Jaket Wanita,https://www.lazada.co.id/products/mono-loreng-jacket-jaket-wanita-i374238941-s400986297.html?search=1,Rp58.000,Jawa Barat,Rp130.000,-55%,none
Mark Jacket - Kemeja Semi Parka Pria,https://www.lazada.co.id/products/mark-jacket-kemeja-semi-parka-pria-i453776268-s539156629.html?search=1,Rp57.000,Jawa Barat,Rp130.000,-56%,none
Rieliez - Jacket Hoodie distro Pria UH.sinyal / Bayar di tempat,https://www.lazada.co.id/products/rieliez-jacket-hoodie-distro-pria-uhsinyal-bayar-di-tempat-i471660993-s576762718.html?search=1,Rp91.000,Jawa Barat,Rp230.000,-60%,none
Ahha Anak 8 12 Tahun List Garis Hoodie Sweater Jacket Hypebeast Atta Halilintar Kualitas Premium Harga Grosir Cuci Gudang,https://www.lazada.co.id/products/ahha-anak-8-12-tahun-list-garis-hoodie-sweater-jacket-hypebeast-atta-halilintar-kualitas-premium-harga-grosir-cuci-gudang-i540532526-s747014486.html?search=1,Rp100.000,Jawa Barat,,,none
ImmoShop15 Jacket Hoodie Sweater BlackTipe Varian Warna / Hoodie Pria / Sweater Pria / Jaket Pria / Kemeja Pria / Hoodie Premium / Jaket Premium / Hoodie Hype / Hoodie Kekinian / Jaket Kekinian / Jaket Jumbo / Jaket Wanita / Jaket Zaman Now / Hoodie Cowok,https://www.lazada.co.id/products/immoshop15-jacket-hoodie-sweater-blacktipe-varian-warna-hoodie-pria-sweater-pria-jaket-pria-kemeja-pria-hoodie-premium-jaket-premium-hoodie-hype-hoodie-kekinian-jaket-kekinian-jaket-jumbo-jaket-wanita-jaket-zaman-now-hoodie-cowok-i500206288-s632210627.html?search=1,Rp52.900,DKI Jakarta,Rp150.000,-65%,none
Eugene Jacket - Kemeja Semi Parka Pria,https://www.lazada.co.id/products/eugene-jacket-kemeja-semi-parka-pria-i420714090-s643404006.html?search=1,Rp81.500,Jawa Barat,Rp225.000,-64%,none
RL -Jacket Hoodie distro Pria ORi Matras #Mount / Hoodie Pria / Hoodie distro / Hoodie ORIGINAL / Jaket Pria / Jaket distro / Jaket Original,https://www.lazada.co.id/products/rl-jacket-hoodie-distro-pria-ori-matras-mount-hoodie-pria-hoodie-distro-hoodie-original-jaket-pria-jaket-distro-jaket-original-i542336446-s750470427.html?search=1,Rp105.500,Jawa Barat,Rp245.000,-57%,none
JACKET HOODIE // SWEATER PRIA Dan Wanita MODERN TERBARU & TERMURAH,https://www.lazada.co.id/products/jacket-hoodie-sweater-pria-dan-wanita-modern-terbaru-termurah-i519956290-s716878306.html?search=1,Rp79.200,DKI Jakarta,Rp198.000,-60%,none
Misterdom Jacket Denim Men's Black Sandwash // GRATIS ONGKIR,https://www.lazada.co.id/products/misterdom-jacket-denim-mens-black-sandwash-gratis-ongkir-i353735986-s368894674.html?search=1,Rp120.000,Jawa Barat,Rp250.000,-52%,none
Ferisha store jaket levis keren,https://www.lazada.co.id/products/ferisha-store-jaket-levis-keren-i418656682-s471687440.html?search=1,Rp120.000,Jawa Barat,Rp340.000,-65%,none
1080Fashion JACKET JEANS AURORI,https://www.lazada.co.id/products/1080fashion-jacket-jeans-aurori-i505010800-s650974640.html?search=1,Rp57.500,DKI Jakarta,Rp62.000,-7%,none
DNA Jaket Bomber Jeans Pria - Jaket Bomber Bordir Pria,https://www.lazada.co.id/products/dna-jaket-bomber-jeans-pria-jaket-bomber-bordir-pria-i436934195-s514542228.html?search=1,Rp132.000,Indonesia,Rp185.000,-29%,none
F&F Jacket Kara Jeans V7A,https://www.lazada.co.id/products/ff-jacket-kara-jeans-v7a-i502142944-s637980364.html?search=1,Rp91.000,DKI Jakarta,Rp128.000,-29%,none
Paling Laris!!! Premium Jacket Jeans Levis Cowok Pria,https://www.lazada.co.id/products/paling-laris-premium-jacket-jeans-levis-cowok-pria-i440180170-s520248916.html?search=1,Rp100.000,Jawa Barat,Rp140.000,-29%,none
Avengers Endgame 4 Hoodie Casual Hooded Coat Men Women Quantum Suit 3D Printing Hoodies Sweatshirt Cosplay Sweater Jacket Coat,https://www.lazada.co.id/products/avengers-endgame-4-hoodie-casual-hooded-coat-men-women-quantum-suit-3d-printing-hoodies-sweatshirt-cosplay-sweater-jacket-coat-i518574474-s713960544.html?search=1,Rp122.000,Tiongkok,Rp168.000,-27%,none
Jacket PUBG TAD Men Coat Military jaket pria jaket bravo jaket winter,https://www.lazada.co.id/products/jacket-pubg-tad-men-coat-military-jaket-pria-jaket-bravo-jaket-winter-i378029389-s407087929.html?search=1,Rp230.000,Jawa Barat,Rp300.000,-23%,none
New Tenda Jacket Jeans Denim Wanita Trendy Oversize,https://www.lazada.co.id/products/new-tenda-jacket-jeans-denim-wanita-trendy-oversize-i142925951-s424712175.html?search=1,Rp109.900,Jawa Barat,Rp175.000,-37%,https://id-live-01.slatic.net/original/2ee73a0f6c470057c964206f05baf6c7.jpg
Wanita Korea Jaket Denim Wanita Pendek Jaket Longgar,https://www.lazada.co.id/products/wanita-korea-jaket-denim-wanita-pendek-jaket-longgar-i494318972-s617812721.html?search=1,Rp199.000,Tiongkok,Rp245.000,-19%,https://my-test-11.slatic.net/p/7f5d546b5a22c38dffa6808f47a291bd.jpg
Jaket Pria Bolak Balik Jaket Bomber Polos Pria Mens Bomber Jacket Windproof Jaket Pria Wanita Tahan Angin Jaket Motor Hangout Fashion Jacket Bomber M / L / XL / XXL - AX003,https://www.lazada.co.id/products/jaket-pria-bolak-balik-jaket-bomber-polos-pria-mens-bomber-jacket-windproof-jaket-pria-wanita-tahan-angin-jaket-motor-hangout-fashion-jacket-bomber-m-l-xl-xxl-ax003-i163339390-s333776849.html?search=1,Rp99.000,Jawa Barat,Rp220.000,-55%,https://id-live-01.slatic.net/original/c9ac151ee265d1fff72df888f776f9f7.jpg
SS Bomber Aragon / Jaket Bomber / Jaket Gunung / Jaket Bomber Pria / Jaket Kanvas / Bomber Pria / Bomber Jacket / Jaket Pria keren / Jaket Korea / Jaket Pria Jumbo / Jaket Pria terbaru 2019 / Jaket Tebal,https://www.lazada.co.id/products/ss-bomber-aragon-jaket-bomber-jaket-gunung-jaket-bomber-pria-jaket-kanvas-bomber-pria-bomber-jacket-jaket-pria-keren-jaket-korea-jaket-pria-jumbo-jaket-pria-terbaru-2019-jaket-tebal-i569572724-s808010097.html?search=1,Rp125.000,Jawa Barat,Rp220.000,-43%,https://id-test-11.slatic.net/p/f891aae2ed7e14edf749106c115319da.jpg
Elfs Shop - Jaket Pria Hoodie Jumper Training Fleece List,https://www.lazada.co.id/products/elfs-shop-jaket-pria-hoodie-jumper-training-fleece-list-i354518103-s370081304.html?search=1,Rp85.000,DKI Jakarta,,,https://id-live-01.slatic.net/original/1dc0a8bb001c772a08caa9ee2d81ac15.jpg
Pocket Zippy Jacket - Jaket Cewe / Jaket Wanita,https://www.lazada.co.id/products/pocket-zippy-jacket-jaket-cewe-jaket-wanita-i169388622-s400776667.html?search=1,Rp55.000,Jawa Barat,Rp127.000,-57%,https://id-live-01.slatic.net/original/8a0e5afd69f64d5ae2c5e40ad3e7d702.jpg
Jaket Jeans Pria,https://www.lazada.co.id/products/jaket-jeans-pria-i141906875-s153660999.html?search=1,Rp80.500,DKI Jakarta,Rp185.500,-57%,https://id-test-11.slatic.net/p/c5acd92230377dcba12e4488d27da8f9.jpg
Jacket sweater slank,https://www.lazada.co.id/products/jacket-sweater-slank-i505040748-s651070091.html?search=1,Rp79.200,DKI Jakarta,Rp168.000,-53%,https://id-test-11.slatic.net/p/5b364c0a9ebe867ada1ab7250e799649.jpg
Giordano Men Washed denim cargo jacket [Free Shipping] 01078644,https://www.lazada.co.id/products/giordano-men-washed-denim-cargo-jacket-free-shipping-01078644-i389246444-s424488187.html?search=1,Rp444.000,Tiongkok,Rp972.000,-54%,none
